Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable	Ejection Status	Ejection Volume	Ejection Time
24	A12-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1200.77005761954	0.0219163113952946	0.00791631139529464	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:55.7444352Z
25	A13-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	45654.0299999999	0.0185403174651847	0.000459682534815334	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:58.7422865Z
26	A13-1	Unknown	CK	Internal Standards	Group 1	1	0.014	10807.9635063562	0.0197684617784928	0.00576846177849276	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:58.7422865Z
27	A14-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	39264.2550000002	0.0185899828759282	0.000410017124071849	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:01.7415699Z
28	A14-1	Unknown	CK	Internal Standards	Group 1	1	0.014	53156.2352859942	0.0183034154874188	0.00430341548741885	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:01.7415699Z
29	A15-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	46956.3750000004	0.0186540784240501	0.000345921575949863	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:04.7403982Z
30	A15-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1715.37120541515	0.0188393854484509	0.00483938544845094	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:04.7403982Z
31	A16-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	42712.0325000002	0.019998756050103	0.000998756050102981	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:07.7386125Z
32	A16-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1139.42821018169	0.0225465883306514	0.0085465883306514	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:07.7386125Z
33	A17-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	45150.525	0.0187118403626074	0.000288159637392614	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:10.7415357Z
34	A17-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1128.07245027909	0.0202329354258252	0.00623293542582522	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:10.7415357Z
35	A18-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	42603.9749999996	0.0189722313228571	2.77686771429329E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:13.7363621Z
36	A18-1	Unknown	CK	Internal Standards	Group 1	1	0.014	908.29549604593	0.0185194079617879	0.00451940796178791	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:13.7363621Z
37	A19-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	41309.219	0.0192631284806812	0.000263128480681159	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:16.7348702Z
38	A19-1	Unknown	CK	Internal Standards	Group 1	1	0.014	58975.8666402297	0.0179924823927904	0.00399248239279042	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:16.7348702Z
39	A20-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	42481.3050000004	0.0192790975803857	0.000279097580385742	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:19.7640724Z
40	A20-1	Unknown	CK	Internal Standards	Group 1	1	0.014	58899.704463352	0.018927087503205	0.00492708750320499	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:19.7640724Z
41	A21-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	39533.5800000001	0.0189357113095092	6.42886904907922E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:22.7363920Z
42	A21-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1886.30541835243	0.0215233943608872	0.00752339436088719	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:22.7363920Z
